year,zip_code,age_group,number_of_visits,age_adjusted_rate,county_fips_code,county
2012,"90249
(33.90050135700045, -118.31913709299971)",AllAges,211,81.9,6037,LOS ANGELES
2012,"90249
(33.90050135700045, -118.31913709299971)",Children (0-17),77,125.1,6037,LOS ANGELES
2012,"90249
(33.90050135700045, -118.31913709299971)",Adults (18+),134,66.9,6037,LOS ANGELES
2012,"90250
(33.91415336400047, -118.34715803299969)",AllAges,689,70.2,6037,LOS ANGELES
2012,"90250
(33.91415336400047, -118.34715803299969)",Children (0-17),359,137.5,6037,LOS ANGELES
2012,"90250
(33.91415336400047, -118.34715803299969)",Adults (18+),330,46.8,6037,LOS ANGELES
2012,"90254
(33.86430311500044, -118.39718642699972)",AllAges,19,11.7,6037,LOS ANGELES
2012,"90254
(33.86430311500044, -118.39718642699972)",Children (0-17),12,35.2,6037,LOS ANGELES
2012,"90254
(33.86430311500044, -118.39718642699972)",Adults (18+),,,6037,LOS ANGELES
2012,"90255
(33.978672351000455, -118.21899775099968)",AllAges,394,52,6037,LOS ANGELES
2012,"90255
(33.978672351000455, -118.21899775099968)",Children (0-17),206,88.6,6037,LOS ANGELES
2012,"90255
(33.978672351000455, -118.21899775099968)",Adults (18+),188,39.2,6037,LOS ANGELES
2012,"90260
(33.88913047700049, -118.3522981749997)",AllAges,199,55.9,6037,LOS ANGELES
2012,"90260
(33.88913047700049, -118.3522981749997)",Children (0-17),119,127.2,6037,LOS ANGELES
2012,"90260
(33.88913047700049, -118.3522981749997)",Adults (18+),80,31.1,6037,LOS ANGELES
2012,"90262
(33.92512015700049, -118.20319931099971)",AllAges,347,48,6037,LOS ANGELES
2012,"90262
(33.92512015700049, -118.20319931099971)",Children (0-17),170,73,6037,LOS ANGELES
2012,"90262
(33.92512015700049, -118.20319931099971)",Adults (18+),177,39.4,6037,LOS ANGELES
2012,"90265
(34.03506183100046, -118.7602985369997)",AllAges,12,7.8,6037,LOS ANGELES
2012,"90265
(34.03506183100046, -118.7602985369997)",Children (0-17),,,6037,LOS ANGELES
2012,"90265
(34.03506183100046, -118.7602985369997)",Adults (18+),,,6037,LOS ANGELES
2012,"90266
(33.89004292800047, -118.40324770999968)",AllAges,46,14.7,6037,LOS ANGELES
2012,"90266
(33.89004292800047, -118.40324770999968)",Children (0-17),14,17,6037,LOS ANGELES
2012,"90266
(33.89004292800047, -118.40324770999968)",Adults (18+),32,13.9,6037,LOS ANGELES
2012,"90270
(33.98850075300044, -118.1889476929997)",AllAges,121,50.5,6037,LOS ANGELES
2012,"90270
(33.98850075300044, -118.1889476929997)",Children (0-17),45,50.3,6037,LOS ANGELES
2012,"90270
(33.98850075300044, -118.1889476929997)",Adults (18+),76,50.5,6037,LOS ANGELES
2012,"90272
(34.04886156900045, -118.53572692799969)",AllAges,18,8.5,6037,LOS ANGELES
2012,"90272
(34.04886156900045, -118.53572692799969)",Children (0-17),,,6037,LOS ANGELES
2012,"90272
(34.04886156900045, -118.53572692799969)",Adults (18+),,,6037,LOS ANGELES
2012,"90274
(33.77664263000048, -118.37785984199968)",AllAges,33,13.7,6037,LOS ANGELES
2012,"90274
(33.77664263000048, -118.37785984199968)",Children (0-17),,,6037,LOS ANGELES
2012,"90274
(33.77664263000048, -118.37785984199968)",Adults (18+),27,14.8,6037,LOS ANGELES
2012,"90275
(33.76310359300044, -118.3666584179997)",AllAges,44,9,6037,LOS ANGELES
2012,"90275
(33.76310359300044, -118.3666584179997)",Children (0-17),,,6037,LOS ANGELES
2012,"90275
(33.76310359300044, -118.3666584179997)",Adults (18+),37,9.6,6037,LOS ANGELES
2012,"90277
(33.832723615000475, -118.38547663699967)",AllAges,69,24.8,6037,LOS ANGELES
2012,"90277
(33.832723615000475, -118.38547663699967)",Children (0-17),30,55,6037,LOS ANGELES
2012,"90277
(33.832723615000475, -118.38547663699967)",Adults (18+),39,14.3,6037,LOS ANGELES
